"date_pt","whale_presence_rating","vsr_season","s_fincount","fin_acoustic","s_humpbackcount","humpback_acoustic","s_bluecount","blue_acoustic","bwmv","bwmv_rating"
2023-06-09,"Very High","active",0,"Low Rating",36,"Low Rating",0,"Medium Rating",0.24,"low"
2023-06-10,"Very High","active",0,"Low Rating",16,"Low Rating",0,"Medium Rating",0.36,"low"
2023-06-11,"Very High","active",0,"Low Rating",0,"Low Rating",0,"Medium Rating",0.51,"low"
2023-06-12,"High","active",0,"Low Rating",27,"Low Rating",0,"High Rating",0.49,"low"
2023-06-13,"Very High","active",0,"Low Rating",41,"Low Rating",8,"High Rating",0.34,"low"
2023-06-14,"Very High","active",0,"Low Rating",0,"Low Rating",0,"High Rating",0.37,"low"
2023-06-15,"Very High","active",0,"Medium Rating",10,"Low Rating",0,"High Rating",0.4,"low"
2023-06-16,"Very High","active",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.53,"low"
2023-06-17,"Very High","active",0,"Medium Rating",25,"Medium Rating",0,"High Rating",0.57,"low"
2023-06-18,"Very High","active",0,"Medium Rating",0,"Medium Rating",0,"High Rating",0.54,"low"
2023-06-19,"Very High","active",0,"Low Rating",0,"Low Rating",0,"High Rating",0.64,"low"
2023-06-20,"Very High","active",0,"Low Rating",0,"Low Rating",0,"High Rating",0.53,"low"
2023-06-21,"Very High","active",0,"Low Rating",0,"Low Rating",0,"Medium Rating",0.55,"low"
